station_code,location,,,state,,,temperature_(0_c),,dissolved_oxygen_(mg/_l),,ph,,conductivity_(µmho/_cm),,,bio-chemical,,,nitrate_(mg/_l),,faecal_coliform_(mpn/_100_ml),,,,total_coliform_(mpn/_100_ml),
2604,,BEAS AT D/S,,,HIMACHAL,,10.0,19.0,7.0,8.7,6.9,8.3,139,406,0.2,,0.7,,0.25,1.29,2,,6,,79,280
,,JAISINGHPUR,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
3855,"RIVER BEAS D/S NADAUN
BRIDGE, VILL BHADOLI",,,"HIMACHAL
PRADESH",,,12.0,18.0,6.5,8.7,7.4,8.5,151,493,0.1,,0.6,,0.11,2.61,2,,6,,79,280
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
1010,"BEAS AT MIRTHAL
BRIDGE, GURDASPUR,
PUNJAB",,,PUNJAB,12.0,,,36.0,,,7.3,,,7.8,,,7.2,,,8.2,,,200,,,356
1011,"BEAS AT G.T. ROAD
UNDER BDG. NEAR
KAPURTHALA, PUNJA",,,PUNJAB,12.0,,,36.0,,,7.1,,,7.7,,,7.3,,,7.9,,,198,,,272
1012,,BEAS AT 100M D/S,,PUNJAB,13.0,,,39.0,,,7.0,,,8.3,,,7.2,,,7.9,,,180,,,299
,,INDUST. DISCH.,,,,,,,,,,,,,,,,,,,,,,,,
,,GOINDWAL PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
1294,,BEAS AT 1KM.D/S OF,,PUNJAB,13.0,,,36.0,,,6.8,,,7.4,,,7.2,,,8.0,,,224,,,310
,,EFFL. DISH. POINT AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"MUKERIAN ,",,,,,,,,,,,,,,,,,,,,,,,,
1693,,"BEAS AT TALWARA H/W,",,PUNJAB,12.0,,,27.0,,,7.5,,,8.1,,,7.2,,,7.8,,,186,,,266
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
1694,"U/S PATHANKOT, PUNJAB",,,PUNJAB,13.0,,,33.0,,,7.0,,,7.9,,,7.0,,,8.3,,,196,,,268
1695,"D/S PATHANKOT, PUNJAB",,,PUNJAB,13.0,,,35.0,,,6.6,,,7.6,,,7.1,,,8.0,,,218,,,290
1696,"U/S GOINDWAL, PUNJAB",,,PUNJAB,14.0,,,39.0,,,7.4,,,7.9,,,7.2,,,8.0,,,188,,,270
1697,"BEAS AT HARIKE, PUNJAB",,,PUNJAB,12.0,,,32.0,,,6.7,,,8.3,,,7.3,,,7.9,,,220,,,282
2913,"KALI BEIN FALLING INTO
RIVER BEAS, PUNJAB",,,PUNJAB,13.0,,,29.0,,,4.1,,,6.3,,,7.0,,,7.8,,,285,,,565
4164,,"BEAS RIVER, NR VILL KIRI",,PUNJAB,15.0,,,37.0,,,7.1,,,7.4,,,7.3,,,7.9,,,259,,,340
,,"AFGHANA, TEHSIL",,,,,,,,,,,,,,,,,,,,,,,,
,,BATALA,,,,,,,,,,,,,,,,,,,,,,,,
4165,,"BEAS RIVER, NR VILL KIRI",,PUNJAB,26.0,,,27.0,,,4.5,,,6.4,,,7.7,,,8.7,,,990,,,2300
,,"AFGHANA, TEHSIL",,,,,,,,,,,,,,,,,,,,,,,,
,,BATALA,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
2611,SUTLEJ AT KHAB,,,,HIMACHAL,,7.0,,,13.0,,,9.4,,,10.1,,,7.4,,,8.5,,,102,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1389,,SUTLEJ AT NEPTHA,,,HIMACHAL,,8.0,,,16.0,,,8.8,,,9.6,,,6.8,,,8.5,,,98,
,,"ZAKHAI, H.P",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1086,,SUTLEJ AT U/S,,,HIMACHAL,,9.0,,,18.0,,,8.0,,,9.6,,,,,,,,,95,
,,"RAMPUR, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1087,,SUTLEJ AT D/S,,,HIMACHAL,,9.0,,,18.0,,,8.0,,,9.6,,,7.2,,,8.5,,,56,
,,"RAMPUR, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1013,,SUTLEJ AT U/S,,,HIMACHAL,,10.0,,,20.0,,,8.0,,,9.0,,,7.0,,,8.6,,,103,
,,"TATAPANI, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1014,,SUTLEJ AT U/S,,,HIMACHAL,,11.0,,,23.0,,,9.6,,,12.1,,,7.5,,,8.5,,,117,
,,"SLAPPER, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1015,,SUTLEJ AT D/S,,,HIMACHAL,,12.0,,,23.0,,,9.8,,,11.9,,,7.9,,,8.4,,,114,
,,"SLAPPER, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1016,,SUTLEJ AT D/S,,,HIMACHAL,,3.0,,,19.0,,,6.4,,,8.6,,,7.2,,,8.1,,,190,
,,"BHAKHRA, H.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1017,,SUTLEJ AT 100M U/S,,PUNJAB,,,16.0,,,25.0,,,7.9,,,8.7,,,7.4,,,8.1,,,215,
,,"OF HEADWORKS,",,,,,,,,,,,,,,,,,,,,,,,,
,,"NANGAL, PUNJAB",,,,,,,,,,,,,,,,,,,,,,,,
1018,,"SUTLEJ AT 100M D/S ,",,PUNJAB,,,16.0,,,23.0,,,7.6,,,8.5,,,7.3,,,8.0,,,232,
,,"NANGAL, PUNJAB",,,,,,,,,,,,,,,,,,,,,,,,
1293,,SUTLEJ AT 1 KM. D/S,,PUNJAB,,,15.0,,,26.0,,,7.0,,,8.7,,,7.1,,,8.2,,,287,
,,"OF ZENITH, PUNJAB",,,,,,,,,,,,,,,,,,,,,,,,
1814,,SUTLEJ AT D/S,,PUNJAB,,,16.0,,,25.0,,,7.4,,,8.4,,,7.7,,,8.2,,,246,
,,"KIRATPUR SAHIB,",,,,,,,,,,,,,,,,,,,,,,,,
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
1019,,SUTLEJ AT U/S HEAD,,PUNJAB,,,15.0,,,24.0,,,7.6,,,8.8,,,7.1,,,8.2,,,253,
,,"WORKS ROPAR,",,,,,,,,,,,,,,,,,,,,,,,,
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
1380,,"SUTLEJ AT D/S NFL,",,PUNJAB,17.0,,,30.0,,,7.4,,,8.4,,,7.5,,,8.2,,,264,,,351
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
1690,,U/S BUDHA NALLAH,,PUNJAB,16.0,,,30.0,,,6.2,,,7.2,,,7.1,,,8.2,,,317,,,548
,,"(UPPER), PUNJAB",,,,,,,,,,,,,,,,,,,,,,,,
1020,"SUTLEJ AT 100M D/S
BUDHA NALA CONFL.,
LUDHIANA",,,PUNJAB,18.0,,,31.0,,,1.4,,,4.6,,,7.1,,,7.8,,,611,,,1787
1021,"SUTLEJ AT BOAT BDG.
DHARMKOTNAKODAR
ROAD, JALANDHA",,,PUNJAB,13.0,,,30.0,,,3.0,,,7.0,,,7.0,,,7.8,,,348,,,1240
1381,,SUTLEJ AT D/S EAST,,PUNJAB,13.0,,,32.0,,,3.0,,,7.5,,,7.1,,,7.9,,,382,,,1012
,,"BASIN, PUNJAB",,,,,,,,,,,,,,,,,,,,,,,,
1691,,U/S HUSSANIWALA -,,PUNJAB,14.0,,,29.0,,,4.9,,,8.0,,,7.2,,,8.3,,,257,,,480
,,"H/W FEROZEPUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
1692,,D/S HUSSANIWALA-,,PUNJAB,15.0,,,30.0,,,4.7,,,8.0,,,7.4,,,8.1,,,270,,,463
,,"H/W FEROZEPUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
1022,,SUTLEJ AT BRIDGE,,PUNJAB,11.0,,,34.0,,,4.1,,,7.0,,,7.3,,,8.1,,,261,,,500
,,"HARIKE, AMRITSAR,",,,,,,,,,,,,,,,,,,,,,,,,
,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,
2915,"100 MT. D/S OF PACL,
NANGAL, PUNJAB",,,PUNJAB,18.0,,,30.0,,,7.4,,,8.3,,,7.4,,,8.2,,,262,,,386
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,,"Total Coliform
(MPN/ 100 mL)"
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,Min,Max,Max,,Min
1307,,CHUNT KOL,,"JAMMU &
KASHMIR",,,9.0,28.0,1.4,6.0,7.3,8.0,273,575,5.0,,11.3,,,,,,,,,
,,(MAULANA AZAD,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE), J&K",,,,,,,,,,,,,,,,,,,,,,,,
2614,"RAVI AT CHAMERA
RESERVOIR",,,"HIMACHAL
PRADESH",,,8.0,13.0,8.5,8.7,7.1,8.2,106,222,0.1,,0.4,,0.29,0.99,2,,6,,,63
2615,,RAVI AT D/S,,,HIMACHAL,,7.0,10.0,8.7,8.9,7.4,7.8,110,200,0.1,,0.6,,0.28,1.11,2,,7,,,94
,,CHAMERA III HEP,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2613,,RAVI AT D/S OF,,,HIMACHAL,,7.0,10.0,8.5,8.8,7.1,8.0,119,1642,0.1,,0.4,,0.42,1.58,2,,6,,,70
,,CHAMBA TOWN,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1097,"RAVI AT U/S OF
MADHOPUR
HEADWORKS,
GURDASPUR, PUNJ",,,PUNJAB,,,12.0,29.0,7.2,8.6,7.4,7.9,160,210,0.0,,1.0,,0.20,0.90,43,,63,,,70
1290,,PARVATI BEFORE,,"HIMACHAL
PRADESH",,,4.0,12.0,6.5,10.5,7.3,8.7,67,360,0.1,,0.2,,0.20,1.00,21,,34,,,130
,,CONF. TO RIVER,,,,,,,,,,,,,,,,,,,,,,,,
,,"BEAS, H.P.",,,,,,,,,,,,,,,,,,,,,,,,
2605,,PARVATI AT U/S,,,HIMACHAL,,1.0,12.0,6.0,10.8,6.8,8.5,52,150,0.1,,0.1,,0.20,1.01,11,,17,,,79
,,MANIKARAN,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2606,,PARVATI AT D/S,,,HIMACHAL,,2.0,12.0,6.5,10.7,6.7,8.3,45,172,0.1,,0.1,,0.20,0.94,11,,22,,,130
,,MANIKARAN,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1090,"LARGI AT D/S, H.P.",,,,HIMACHAL,,6.0,15.0,7.3,12.0,7.7,8.5,56,237,0.1,,0.2,,0.20,1.13,11,,34,,,150
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1551,,"RIVER SIRSA , U/S",,"HIMACHAL
PRADESH",,,20.0,28.0,5.2,7.2,7.2,8.1,424,1949,0.1,,4.8,,0.20,8.75,2,,25,,,20
,,SITOMAJRI,,,,,,,,,,,,,,,,,,,,,,,,
,,"NALLAHGARH, H.P",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
1552,"RIVER SIRSA , D/S
NALAGARH BRIDGE,
H.P",,,"HIMACHAL
PRADESH",,,19.0,,,30.0,,,4.2,,,6.9,,,7.3,,,8.8,,,432,
,,"NALAGARH BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,H.P,,,,,,,,,,,,,,,,,,,,,,,,
1868,,RIVER SIRSA AT D/S,,"HIMACHAL
PRADESH",,,19.0,,,26.0,,,3.7,,,6.8,,,7.3,,,8.5,,,15,
,,NALAGARH DISTT.,,,,,,,,,,,,,,,,,,,,,,,,
,,"SOLAN, H.P.",,,,,,,,,,,,,,,,,,,,,,,,
1869,,RIVER SWAN AT D/S,,"HIMACHAL
PRADESH",,,5.0,,,23.0,,,6.0,,,7.8,,,7.6,,,8.5,,,205,
,,NANGAL DISTT.,,,,,,,,,,,,,,,,,,,,,,,,
,,"UNA, H.P.",,,,,,,,,,,,,,,,,,,,,,,,
2616,,SIUEL AT D/S,,,HIMACHAL,,7.0,,,12.0,,,8.7,,,8.9,,,7.0,,,7.7,,,110,
,,SURGANI,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2607,,SUKETI KHAD AT,,,HIMACHAL,,13.0,,,26.0,,,5.7,,,10.7,,,7.8,,,8.6,,,141,
,,D/S MANDI,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2608,,BINWA AT D/S,,,HIMACHAL,,11.0,,,17.0,,,7.3,,,8.9,,,6.8,,,8.0,,,53,
,,PAPROLA/BAIJNATH,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2609,,NEUGAL AT D/S,,,HIMACHAL,,11.0,,,18.0,,,7.3,,,7.9,,,7.3,,,8.5,,,89,
,,THURAL,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2610,SPITI AT KHAB,,,,HIMACHAL,,7.0,,,13.0,,,9.5,,,10.0,,,7.3,,,8.5,,,104,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
2612,,BASPA AT U/S,,"HIMACHAL
PRADESH",,,7.0,,,14.0,,,9.1,,,10.0,,,7.0,,,8.6,,,63,
,,RESERVOIR BASPA,,,,,,,,,,,,,,,,,,,,,,,,
,,PROJECT,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,,Temperature,,,,,,Dissolved Oxygen,,,,,pH,,,,,,,Conductivity
,,,,,,,,(0 C),,,,,,(mg/ L),,,,,,,,,,,,(µmho/ Cm)
,,,,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
1306,"GAWKADAL, SRG
(SHERGHARI, SRG), J&K",,,"JAMMU &
KASHMIR",,,7.0,,,29.0,,,4.0,,,8.2,,,7.5,,,8.0,,,190,
1304,,"JHELUM AT ANANTNAG D/S,",,,JAMMU &,,9.0,,,24.0,,,4.6,,,9.7,,,7.5,,,7.9,,,219,
,,J&K,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
1410,"JHELUM AT DALAGATE
(INLET), SRINAGAR, J&K",,,"JAMMU &
KASHMIR",,,8.0,,,26.0,,,4.8,,,9.3,,,7.5,,,8.0,,,187,
1411,"JHELUM AT CHATTABAL WEIR
(OUTLET), J&K",,,"JAMMU &
KASHMIR",,,7.0,,,25.0,,,4.7,,,9.0,,,7.4,,,7.9,,,197,
3272,RIVER JHELUM AT VERINAG,,,,JAMMU &,,10.0,,,20.0,,,7.2,,,9.0,,,7.4,,,8.2,,,193,
,,,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3273,"RIVER JHELUM AT SANGAM,
CONFLUENCE POINT OF
VISHAV",,,"JAMMU &
KASHMIR",,,9.0,,,24.0,,,5.1,,,9.8,,,7.4,,,7.7,,,163,
3276,"JHELUM RIVER ATSPORE,
CONFLUENCE POINT OF
WULAR LAKE",,,"JAMMU &
KASHMIR",,,6.0,,,25.0,,,4.5,,,9.0,,,7.5,,,8.1,,,130,
3277,,JHELUM RIVER,,,JAMMU &,,7.0,,,25.0,,,4.5,,,8.8,,,7.4,,,8.0,,,153,
,,ATBARAMULLA D/S,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3274,,JHELUM RIVER AT,,,JAMMU &,,9.0,,,24.0,,,5.8,,,9.3,,,7.2,,,7.8,,,161,
,,AWANTIPORA,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3275,JHELUM RIVER AT PAMPORE,,,,JAMMU &,,8.0,,,24.0,,,4.5,,,9.5,,,7.3,,,7.8,,,162,
,,,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
2755,"BANGANGA (BATHING GHAT),
KATRA, J&K",,,"JAMMU &
KASHMIR",,,14.0,,,24.0,,,5.2,,,7.9,,,7.8,,,8.5,,,390,
"Station
Code",LOCATION,,,STATE,,,,Temperature,,,,Dissolved Oxygen,,,pH,,,,,Conductivity,,,,Bio-Chemical Oxygen,,
,,,,,,,,(0 C),,,,(mg/ L),,,,,,,,(µmho/ Cm),,,,Demand (mg/ L),,
,,,,,,,,,,,,> 5.0 mg/ L,,,,6.5 - 8.5,,,,,,,,< 3.0 mg/ L,,
,,,,,,,Min,,Max,,Min,,Max,,Min,,Max,,Min,,Max,,Min,,Max,
2756,"BANGANGA (IN FRONT OF
PONY SHED NEAR REASI
BRIDGE)",,,"JAMMU &
KASHMIR",,,14.0,,25.0,,4.8,,8.0,,8.1,,8.4,,380,,692,,2.0,,5.7,
2752,"SAMBA (BELOW NH-1A
BRIDGE), BASANTAR US
(R.H.S)",,,"JAMMU &
KASHMIR",,,15.0,,27.0,,6.2,,8.8,,8.4,,8.8,,408,,480,,1.8,,2.2,
2753,"SAMBA (AT CHAK MANGA
GUJJAR
BASANTAR)D/S(R.H.S.),",,,"JAMMU &
KASHMIR",,,15.0,,27.0,,5.0,,8.0,,7.4,,8.4,,384,,4704,,2.4,,4.6,
2748,"L.H.S.(BELOW BRIDGE
CHENAB), J&K",,,"JAMMU &
KASHMIR",,,7.0,,16.0,,8.0,,9.0,,7.6,,7.9,,130,,219,,0.0,,1.9,
2749,"BLIND CURVE SHAMSHAN
GHAT (1.5 KM U/S FROM
SPOT),",,,"JAMMU &
KASHMIR",,,7.0,,16.0,,8.0,,9.3,,7.6,,8.0,,132,,217,,0.0,,1.8,
2750,"CHADRA GAON VIEW POINT(4
KM U/S FROM SPOT), J&K",,,"JAMMU &
KASHMIR",,,7.0,,16.0,,7.4,,9.4,,7.5,,7.9,,130,,224,,0.0,,1.8,
2751,"JAL PATAN MANDIR AFTER
MEETING WITH MAIN DRAIN",,,"JAMMU &
KASHMIR",,,7.0,,16.0,,6.9,,8.3,,7.5,,8.1,,140,,224,,1.0,,2.4,
2754,"RIVER DEVAK
UDHAMPUR(NEAR SHIV
MANDIRD/S)L.H.S.",,,"JAMMU &
KASHMIR",,,15.0,,24.0,,5.6,,8.3,,7.4,,8.3,,420,,630,,6.0,,10.4,
2757,,"RIVER DEVAK AT UTTERBEHNI,",,,JAMMU &,,15.0,,24.0,,5.6,,8.0,,7.4,,8.1,,380,,470,,1.4,,2.2,
,,J&K,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,,Temperature,,,,Dissolved Oxygen,,,pH,,,,,Conductivity,,,,Bio-Chemical Oxygen,,
,,,,,,,,(0 C),,,,(mg/ L),,,,,,,,(µmho/ Cm),,,,Demand (mg/ L),,
,,,,,,,,,,,,> 5.0 mg/ L,,,,6.5 - 8.5,,,,,,,,< 3.0 mg/ L,,
,,,,,,,Min,,Max,,Min,,Max,,Min,,Max,,Min,,Max,,Min,,Max,
3278,LIDDER NALLAH AT LARIPORA,,,,JAMMU &,,3.0,,16.0,,7.2,,11.0,,7.3,,8.2,,47,,243,,0.4,,0.8,
,,,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3279,,LIDDER NALLAH AT CLUB,,,JAMMU &,,5.0,,16.0,,7.4,,10.8,,7.4,,8.2,,125,,230,,0.5,,1.0,
,,PARK,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3280,LIDDER NALLAH AT BUS ADDA,,,,JAMMU &,,4.0,,15.0,,7.4,,11.1,,7.3,,8.1,,132,,237,,0.7,,1.3,
,,,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3281,"LIDDER NALLAH AT YANEER,
D/S OF PHALGUM",,,"JAMMU &
KASHMIR",,,3.0,,16.0,,7.5,,10.5,,7.4,,8.5,,76,,171,,0.5,,1.2,
3282,"LIDDER NALLAH NERA
BUMZOO, ANANTNAG",,,"JAMMU &
KASHMIR",,,3.0,,17.0,,7.5,,11.0,,7.5,,8.6,,97,,227,,0.9,,1.2,
3283,,SINDH RIVER AT SONAMARG,,,JAMMU &,,4.0,,12.0,,7.8,,10.5,,7.4,,8.1,,245,,399,,0.4,,0.9,
,,U/S,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
3284,"SINDH RIVER AT SONAMARG
D/S",,,"JAMMU &
KASHMIR",,,3.0,,12.0,,7.8,,9.2,,7.4,,8.1,,228,,405,,0.5,,0.9,
3285,SINDH RIVER AT WAIL BRIDGE,,,"JAMMU &
KASHMIR",,,3.0,,16.0,,7.2,,9.7,,7.3,,8.2,,159,,302,,0.7,,1.3,
3286,"SINDH RIVER AT
DUDERHAMA",,,"JAMMU &
KASHMIR",,,6.0,,26.0,,7.3,,9.8,,7.3,,8.1,,165,,345,,1.0,,2.0,
3287,"SINDH RIVER AT RANGIL,
SRINAGAR",,,"JAMMU &
KASHMIR",,,3.0,,17.0,,6.5,,10.2,,7.4,,8.4,,161,,339,,0.5,,1.6,
2742,"SHETALI LIFTING POINT
NAGROTA(5KM U/S TAWI
BRIDGE)",,,"JAMMU &
KASHMIR",,,13.0,,22.0,,6.5,,8.2,,7.6,,8.4,,190,,380,,1.0,,1.1,
2743,,BAGH-E-BAHU LIFTING,,"JAMMU &
KASHMIR",,,14.0,,22.0,,7.2,,9.2,,8.0,,8.4,,220,,420,,1.0,,3.2,
,,POINT(1 KM U/S TAWI,,,,,,,,,,,,,,,,,,,,,,,,
,,BRIDGE),,,,,,,,,,,,,,,,,,,,,,,,
2744,"BELOW TAWI BRIDGE, J&K",,,,JAMMU &,,14.0,,22.0,,6.3,,7.2,,8.3,,8.6,,280,,437,,1.7,,6.0,
,,,,,KASHMIR,,,,,,,,,,,,,,,,,,,,,
