,table,,table,,page,
4.6,,,"WATER QUALITY OF TRIBUTARY STREAMS - KODRA DAM, BANAS, KELWARA, CHAMBAL, PIPLAD DAM,
KOTHARI, GUWARDI RESERVOIR, BERECH, GAMBHIRI AND KANOTA DAM (2021)",50-52,,
5,,,WATER QUALITY OF RIVER BRAHAMPUTRA,53,,
5.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - BARAK, BARALIA, BARNADI, BEKI, BERENG, BHARALU,
BHOGDOI, BOGINADI, BOLDAMGRE, BORSILA, BURADIA, BURHIDIHING, CHATHE, CHHIMTUIPUI, CHITHE
STREAM, DAMDIAI STREAM, DAMRING, DEMOW, DHANSIRI, DHATESHWARI,DIBANG, DIGARU, DIGBOI,
DIHING, DIKCHU, DIKHOW, DIKRONG, DISANG, DORIKA, DZU, DZUCHA RU, DZUDZA RU, DZUNA RU, GABHARU,
GAI NADI, GANGA, JAI BHARALI, JHANJI, KALIPAI, KALJANI, KAMENG, KAMLA, KAPILI, KAROLA, KATHAKAL,
KHARSANG, KHAWTHLANGTUIPUI, KMEUM, KOHORA, KOLONG, KUNDLI, KUPLI, KUSHIARA, KWAI, KYNSHI,
LAHMUN, LAITRYNGEW STREAM, LAMU, LARSING, LAWIBUAL STREAM, LOHIT, LUKHA, LYNRIANG RIANG,
MANDA (DUDHAI RIVER), MANEY KHOLA, MANU, MAT, MILAK, MORA BHARALI, MYNTANG,MYNTDU,
NAMCHIK, NAO DIHING, NGENGPUI STREAM, NONBAH, NONEY/IJEI, NONGAL, PACHIN, PAGLDIA, PANCHNAI,
PHE WATER RESERVOIR, POMA, RANGA NADI, RANGIT, RANICHU, RILANG, RWIANG, SAIKAH STREAM,
SAKHISIH STREAM, SANKOSH, SANO RU, SERLUI B DAM, SERLUI STREAM, SESAH STREAM, SIANG, SINGRA,
SONAI, SUBANSIRI, TEESTA, TEIREI, THLUMUWI, TIAU, TIHU, TLAWNG SAIRANG, TLAWNG, TOCKLAI, TORSA,
TUICHHUAHAN STREAM, TUIKUAL STREAM, TUIKUM, TUIPUI DARZOKAI, TUIPUI, TUIRIAL DAM, TUIRIAL,
TUIRINI, TUIVAWL, TUNIA, TUT, UMIUREM, UMNGI, VAIPUANPHO STREAM, VAITUI TUIKHUR, WAH BLEI,
WAHKHLEK KHLEK, WAHREW, WAIKHRWI, YONGO AND MORA BHARALI (2021)",54-67,,
6,,,"WATER QUALITY OF RIVER MAHI AND ITS TRIBUTARY STREAMS - ANAS, MALEI, SHIVNA, PANAM, BHANWAR,
CHILLAR AND JAMMER",68-69,,
7,,,"WATER QUALITY OF RIVER SABARMATI AND TRIBUTARY STREAMS - SHEDHI, KHARI AND MESHWA",70,,
8,,,WATER QUALITY OF RIVER NARMADA,71-75,,
,TABLE,,TABLE,,PAGE,
,NO.,,,,NO.,
8.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - CHOTA TAWA, GOUR, KATNI, KUNDA, SIMRAR, BANJAR AND
HIRAN",76,,
9,,,WATER QUALITY OF RIVER TAPI,77,,
9.1,,,"WATER QUALITY OF TRIBUTARIES - AMRAVATI, GOMAI, BURAI, KIM, DENWA, GIRNA, RANGAVALLI, BORI,
HIWARA, MOR, TITUR, WAGHUR, PANZARA, PURNA, PEDHI AND MORNA",78-79,,
10,,,WATER QUALITY OF RIVER MAHANADI,80-81,,
10.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - SEONATH, BHEDEN, KHAROON, HASDEO, IB, SERUA, KUAKHAI,
KATHJODI, BIRUPA, ARPA, KELO, DAYA, GOBARI, DEVI, GANGUA, KUSHABHADRA, MANGALA, BHARGAVI,
KANSARI, BADASANKHA NADI, RATNACHIRA NADI, NUNA NADI, KUSUMI NADI, SABULIA NADI, SANKHA,
BADANADI, BAHUDA, TEL, RUSHIKULYA AND RUSSELKUNDA RESERVOIR (2021)",82-86,,
11 (A),,,WATER QUALITY OF RIVER BAITARNI AND ITS TRIBUTARY STREAMS - SALANDI & KUSEI,87,,
11 (B),,,WATER QUALITY OF RIVER BRAHMANI,88-89,,
11.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - KHARASROTA, BANGURINGADA JHOR, KARO, BADAJHOR,
DAMASALA, TIKIRA, SINGDA JHOR, RAMIALA, KISNDAJHOR, KOEL, NORTH KOEL, NANDIRA AND LINGIRA",90-91,,
12,,,WATER QUALITY OF RIVER GODAVARI,92-95,,
12.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - INDRAVATI, SHANKNI, MANJEERA, SINGUR DAM, MANER,
WAINGANGA,
KINNERSANI, SABARI, KARAKAVAGU, WARDHA, PURNA, DARNA, WENA, PENGANGA, ARASALAR,
CHUNNAMBAR, KOLAR, KANHAN, BINDUSARA AND ALISAGAR RESERVOIR (2021)",96-100,,
13,,,WATER QUALITY OF RIVER KRISHNA,101-103,,
13.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - PANCHAGANGA, BHIMA, GHOD, PAWANA, VEL, VENNA, URMODI
AND INDRAYANI",104-106,,
13.2,,,"WATER QUALITY OF TRIBUTARY STREAMS - GHATPRABHA, MALPRABHA, TUNGHBHADRA, BHADRA, MUSI,
PALLERU, MUNERU, KAGINA, NAKKAVAGU, HUNDRI, SINA, KOYNA, CHANDRABHAGA, NIRA, MUTHA, TUNGA.
MULA-MUTHA AND MULA",107-111,,
,TABLE,,TABLE,,PAGE,
,NO.,,,,NO.,
14,,,WATER QUALITY OF RIVER PENNAR,112,,
15,,,WATER QUALITY OF RIVER CAUVERY,113-116,,
15.1,,,"WATER QUALITY OF TRIBUTARY STREAMS - BHAVANI, YAGACHI, HEMAVATI, SHIMSA, THIRUMANIMUTHAR,
VASISTA, AMRAVATI, AKRAVATI, KABINI, LAKSHMANTIRTHA, SARABANGA, ADYAR, COOUM VAIGAI,
SUVARNVATHI RESERVOIR AND DAKSHINPINAKINI",117-120,,
16,,,WATER QUALITY OF RIVER SUBARNREKHA,121-122,,
16.1,,,WATER QUALITY OF TRIBUTARY STREAMS - BUDHABALANGA AND SONO,123,,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1001,,"RIVER BEAS AT U/S
MANALI","HIMACHAL
PRADESH",,4.0,
2601,,"RIVER BEAS AT D/S
MANALI","HIMACHAL
PRADESH",,4.0,
4444,,"RIVER BEAS D/S OF
WPF AT MANALI","HIMACHAL
PRADESH",,3.0,
4037,,"RIVER BEAS D/S
MANALSU NALLAH","HIMACHAL
PRADESH",,4.0,
3866,,"RIVER BEAS BEFORE
CONFLUENCE TO
MANALSU NALLAH","HIMACHAL
PRADESH",,4.0,
2602,,"RIVER BEAS AT U/S
KULLU","HIMACHAL
PRADESH",,6.0,
4445,,"RIVER BEAS D/S OF
WPF AT KULLU","HIMACHAL
PRADESH",,5.0,
1002,,"RIVER BEAS AT D/S
KULU","HIMACHAL
PRADESH",,5.0,
1003,,"RIVER BEAS AT D/S
AUT","HIMACHAL
PRADESH",,8.0,
1004,,"RIVER BEAS AT U/S
PANDOH DAM","HIMACHAL
PRADESH",,7.0,
2603,,"RIVER BEAS AT D/S
PANDOH DAM","HIMACHAL
PRADESH",,7.0,
1005,,"RIVER BEAS AT EXIT
OF TUNNEL DEHAL
POWER HOUSE","HIMACHAL
PRADESH",,13.0,
1550,,"RIVER BEAS U/S
MANDI","HIMACHAL
PRADESH",,7.0,
1006,,"RIVER BEAS AT D/S
MANDI","HIMACHAL
PRADESH",,8.0,
2604,,"RIVER BEAS AT D/S
JAISINGHPUR","HIMACHAL
PRADESH",,16.0,
1007,,"RIVER BEAS AT D/S
ALAMPUR","HIMACHAL
PRADESH",,15.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3855,,"RIVER BEAS D/S
NADAUN BRIDGE,
VILL BHADOLI","HIMACHAL
PRADESH",,20.0,
1009,,"RIVER BEAS AT D/S
PONG DAM","HIMACHAL
PRADESH",,18.0,
1008,,"RIVER BEAS AT D/S
DEHRAGOPIPUR","HIMACHAL
PRADESH",,20.0,
4435,,"RIVER BEAS U/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",,10.3,
4436,,"RIVER BEAS D/S
SUJANPUR TIHRA","HIMACHAL
PRADESH",,10.3,
4437,,"RIVER BEAS U/S
NADAUM TOWN","HIMACHAL
PRADESH",,10.2,
4438,,"RIVER BEAS D/S
NADAUN TOWN
AFTER CONFLUENCE
OF MAAN KHAD","HIMACHAL
PRADESH",,10.2,
4443,,"RIVER BEAS AT
RAISON","HIMACHAL
PRADESH",,5.0,
1693,,"RIVER BEAS AT
TALWARA H/W,
PUNJAB",PUNJAB,,8.0,
1694,,"RIVER BEAS AT U/S
PATHANKOT,
PUNJAB",PUNJAB,,11.0,
1010,,"RIVER BEAS AT
MIRTHAL BRIDGE,
GURDASPUR",PUNJAB,,10.0,
1695,,"RIVER BEAS D/S
PATHANKOT,
PUNJAB",PUNJAB,,11.0,
1294,,"RIVER BEAS AT
1KM.D/S OF EFFL.
DISH. POINT AT
MUKERIAN , PUNJAB",PUNJAB,,18.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1696,,"RIVER BEAS U/S
GOINDWAL, PUNJAB",PUNJAB,,15.0,
1697,,"RIVER BEAS AT
HARIKE, PUNJAB",PUNJAB,,15.0,
1011,,"RIVER BEAS AT G.T.
ROAD UNDER BDG.
NEAR KAPURTHALA",PUNJAB,,15.0,
1012,,"RIVER BEAS AT 100M
D/S INDUST. DISCH.
GOINDWAL",PUNJAB,,15.0,
4164,,"RIVER BEAS RIVER,
NR VILL KIRI
AFGHANA, TEHSIL
BATALA,
GURDASPUR",PUNJAB,,18.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1867,,"RIVER SUTLEJ RIVER
B/C WITH RIVER SPITI
AT KHAB,
DISTT.KINNAUR","HIMACHAL
PRADESH",,10.0,
2611,,"RIVER SUTLEJ AT
KHAB","HIMACHAL
PRADESH",,10.0,
3872,,"RIVER SUTLEJ D/S
TIDONG HEP","HIMACHAL
PRADESH",,6.0,
4448,,"RIVER SUTLEJ U/S
CONFLUENCES OF
RIVER TIDONG","HIMACHAL
PRADESH",,6.0,
4449,,"RIVER SUTLEJ D/S
CONFLUENCES OF
RIVER TIDONG","HIMACHAL
PRADESH",,6.5,
4452,,"RIVER SUTLEJ U/S
CONFLUENCES OF
RIVER BASPA","HIMACHAL
PRADESH",,7.0,
3871,,"RIVER SUTLEJ D/S
POWER HOUSE
KASHANG HEP","HIMACHAL
PRADESH",,6.5,
3870,,"RIVER SUTLEJ AT
KARCHAM DRAIN","HIMACHAL
PRADESH",,7.0,
1389,,"RIVER SUTLEJ AT
NEPTHA ZAKHAI","HIMACHAL
PRADESH",,7.0,
4453,,"RIVER SUTLEJ D/S
CONFLUENCES OF
RIVER BASPA","HIMACHAL
PRADESH",,7.0,
3869,,"RIVER SUTLEJ D/S TRT
OF RAMPUR HYDEL
ELECTRIC PROJECT","HIMACHAL
PRADESH",,8.0,
1086,,"RIVER SUTLEJ AT U/S
RAMPUR","HIMACHAL
PRADESH",,8.0,
1087,,"RIVER SUTLEJ AT D/S
RAMPUR","HIMACHAL
PRADESH",,8.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1013,,"RIVER SUTLEJ AT U/S
TATAPANI","HIMACHAL
PRADESH",,8.5,
4446,,"RIVER SUTLEJ U/S
IANDFILL SITE
RAMPUR","HIMACHAL
PRADESH",,8.0,
4447,,"RIVER STLUJ D/S
LANDFILL SITE
RAMPUR","HIMACHAL
PRADESH",,8.0,
4032,,"RIVER SUTLEJ U/S
KHAIRIAN SOLID
WASTE DUMPING
SITE BILASPUR","HIMACHAL
PRADESH",,14.0,
4033,,"RIVER SUTLEJ D/S
KHAIRIAN SOLID
WASTE DUMPING
SITE BILASPUR","HIMACHAL
PRADESH",,14.0,
4450,,"RIVER SUTLEJ U/S
CONFLUENCE WITH
GANVI KHAND","HIMACHAL
PRADESH",,7.5,
4451,,"RIVER SUTLEJ D/S
CONFLUENCE WITH
GANVI KHAD","HIMACHAL
PRADESH",,7.5,
30009,,"RIVER SUTLEJ AT
NANGAL (H.P.)","HIMACHAL
PRADESH",,14.0,
1014,,"RIVER SUTLEJ AT U/S
SLAPPER","HIMACHAL
PRADESH",,13.0,
1015,,"RIVER SUTLEJ AT D/S
SLAPPER","HIMACHAL
PRADESH",,13.0,
1016,,"RIVER SUTLEJ AT D/S
BHAKHRA","HIMACHAL
PRADESH",,10.4,
30010,,"RIVER SUTLEJ AT
NOORPUR BEDI ROAD
(PUNJAB)",PUNJAB,,15.0,
1814,,"RIVER SUTLEJ AT D/S
KIRATPUR SAHIB,
PUNJAB",PUNJAB,,12.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2915,,"RIVER SUTLEJ AT 100
MT. D/S OF PACL,
NANGAL, PUNJAB",PUNJAB,,14.0,
1380,,"RIVER SUTLEJ AT D/S
NFL, PUNJAB",PUNJAB,,13.0,
10020,,"RIVER SUTLEJ AT
ANANDPUR SAHIB",PUNJAB,,12.0,
10021,,"RIVER SUTLEJ AT
BUNGA SAHIB",PUNJAB,,13.0,
10022,,"RIVER SUTLEJ AT
PHILLAUR U/S",PUNJAB,,10.0,
10023,,"RIVER SUTLEJ AT
PHAGWARA U/S
(CHAHERU BRIDGE)",PUNJAB,,11.0,
10024,,"RIVER SUTLEJ AT
PHAGWARA D/S
(KANGANIWAL
BRIDGE)",PUNJAB,,10.0,
10027,,"RIVER SUTLEJ AT
LUDHIANA U/S",PUNJAB,,13.0,
10028,,"RIVER SUTLEJ AT
LUDHIANA D/S",PUNJAB,,15.0,
1017,,"RIVER SUTLEJ AT
100M U/S OF
HEADWORKS,
NANGAL",PUNJAB,,11.0,
1018,,"RIVER SUTLEJ AT
100M D/S , NANGAL",PUNJAB,,11.0,
1293,,"RIVER SUTLEJ AT 1
KM. D/S OF ZENITH,
PUNJAB",PUNJAB,,13.0,
1019,,"RIVER SUTLEJ AT U/S
HEAD WORKS ROPAR",PUNJAB,,12.0,
1690,,"RIVER SUTLEJ AT U/S
BUDHA NALLAH
(UPPER), PUNJAB",PUNJAB,,14.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1020,,"RIVER SUTLEJ AT
100M D/S BUDHA
NALA CONFL.,
LUDHIANA",PUNJAB,,15.0,
1022,,"RIVER SUTLEJ AT
BRIDGE HARIKE,
AMRITSAR",PUNJAB,,12.0,
10025,,"RIVER SUTLEJ AT
JALANDHAR U/S
(PEERU SHAH KA
DARGAH)",PUNJAB,,10.0,
10026,,"RIVER SUTLEJ AT
JALANDHAR D/S
(MALSIAN BRIDGE)",PUNJAB,,12.0,
1021,,"RIVER SUTLEJ AT
BOAT BDG.
DHARMKOTNAKODAR
ROAD, JALANDHAR",PUNJAB,,11.0,
1381,,"RIVER SUTLEJ AT D/S
EAST BEIN, PUNJAB",PUNJAB,,12.0,
1691,,"RIVER SUTLEJ AT U/S
HUSSANIWALA - H/W
FEROZEPUR, PUNJAB",PUNJAB,,10.0,
1692,,"RIVER SUTLEJ AT D/S
HUSSANIWALA-H/W
FEROZEPUR, PUNJAB",PUNJAB,,12.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4059,,"RIVER RAVI AT RANJIT SAGAR
DAM, AT PANAGAR
(BASOHIL)","JAMMU &
KASHMIR",,15.0,
4060,,"RIVER RAVI AT DAM-SITE AT
THEIN","JAMMU &
KASHMIR",,15.0,
4061,,"RIVER RAVI AT LAKHANPUR,
1 KM D/S FROM MADHOPUR
BRIDGE","JAMMU &
KASHMIR",,15.0,
1088,,"RIVER RAVI AT U/S
MADHOPUR","HIMACHAL
PRADESH",,12.0,
1089,,RIVER RAVI AT U/S CHAMBA,"HIMACHAL
PRADESH",,4.0,
2614,,"RIVER RAVI AT CHAMERA
RESERVOIR","HIMACHAL
PRADESH",,4.0,
2615,,"RIVER RAVI AT D/S CHAMERA
III HEP","HIMACHAL
PRADESH",,4.0,
2613,,"RIVER RAVI AT D/S OF
CHAMBA TOWN","HIMACHAL
PRADESH",,3.0,
3873,,"RIVER RAVI U/S STP BARGA
(CHAMBA)","HIMACHAL
PRADESH",,4.0,
3874,,"RIVER RAVI D/S STP BHAGOT
(CHAMBA)","HIMACHAL
PRADESH",,4.0,
1097,,"RIVER RAVI AT U/S OF
MADHOPUR HEADWORKS,
GURDASPUR, PUNJAB",PUNJAB,,6.0,
1290,,"RIVER PARVATI BEFORE
CONF. TO RIVER BEAS","HIMACHAL
PRADESH",,4.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2605,,"RIVER PARVATI AT U/S
MANIKARAN","HIMACHAL
PRADESH",,3.0,
2606,,"RIVER PARVATI AT D/S
MANIKARAN","HIMACHAL
PRADESH",,4.0,
1090,,"RIVER LARGI AT D/S, DWADA
HIMACHAL PRADESH","HIMACHAL
PRADESH",,7.0,
1551,,"RIVER SIRSA U/S SITOMAJRI
NALLAHGARH","HIMACHAL
PRADESH",,13.0,
1552,,"RIVER SIRSA D/S NALAGARH
BRIDGE","HIMACHAL
PRADESH",,12.0,
1868,,"RIVER SIRSA AT D/S
NALAGARH DISTT. SOLAN","HIMACHAL
PRADESH",,12.0,
4485,,"RIVER SIRSA U/S SANDHOLI
NALLAH","HIMACHAL
PRADESH",,13.0,
4487,,"RIVER SIRSA D/S HOUSING
BOARD NALLAH","HIMACHAL
PRADESH",,13.0,
4489,,"RIVER SIRSA D/S RIVER
RATTA","HIMACHAL
PRADESH",,13.0,
30012,,"RIVER SIRSA AT BADDI ,
,GHANOLI VILLAGE) PUNJAB",PUNJAB,,26.0,
2616,,RIVER SIUEL AT D/S SURGANI,"HIMACHAL
PRADESH",,4.0,
2607,,"RIVER SUKETI KHAD AT D/S
MANDI","HIMACHAL
PRADESH",,8.0,
2608,,"RIVER BINWA AT D/S
PAPROLA/BAIJNATH","HIMACHAL
PRADESH",,14.0,
2609,,"RIVER NEUGAL AT D/S
THURAL","HIMACHAL
PRADESH",,12.0,
2610,,RIVER SPITI AT KHAB,"HIMACHAL
PRADESH",,10.0,
2612,,"RIVER BASPA AT U/S
RESERVOIR BASPA PROJECT","HIMACHAL
PRADESH",,7.0,
2755,,"RIVER BANGANGA (BATHING
GHAT), KATRA,","JAMMU &
KASHMIR",,8.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2756,,"RIVER BANGANGA (IN FRONT
OF PONY SHED NEAR REASI
BRIDGE)KATRA","JAMMU &
KASHMIR",,8.0,
2752,,"RIVER BASANTER U/S (R.H.S)
SAMBA (BELOW NH-1A
BRIDGE),","JAMMU &
KASHMIR",,10.0,
2753,,"RIVER BASANTER D/S(R.H.S.)
SAMBA (AT CHAK MANGA
GUJJAR","JAMMU &
KASHMIR",,10.0,
2748,,"RIVER CHENAB AT
L.H.S.(BELOW BRIDGE
CHENAB)","JAMMU &
KASHMIR",,9.0,
2749,,"RIVER CHENAB AT BLIND
CURVE SHAMSHAN GHAT
(1.5 KM U/S FROM SPOT)","JAMMU &
KASHMIR",,9.0,
2750,,"RIVER CHENAB AT CHADRA
GAON VIEW POINT(4 KM U/S
FROM SPOT)","JAMMU &
KASHMIR",,9.0,
2751,,"RIVER CHENAB AT JAL PATAN
MANDIR AFTER MEETING
WITH MAIN DRAIN OF
AKHNOOR CITY(1.5 KMD/S
FROM SPOT)","JAMMU &
KASHMIR",,9.0,
1305,,"RIVER CHENAB AT JAMMU
D/S","JAMMU &
KASHMIR",,13.0,
2754,,"RIVER DEVAK
UDHAMPUR(NEAR SHIV
MANDIR D/S)L.H.S.","JAMMU &
KASHMIR",,11.0,
2757,,"RIVER DEVAK AT
UTTERBEHNI","JAMMU &
KASHMIR",,19.0,
2742,,"RIVER TAWI AT SHETALI
LIFTING POINT
NAGROTA(5KM U/S TAWI
BRIDGE)","JAMMU &
KASHMIR",,12.0,
2743,,"RIVER TAWI AT BAGH-E-
BAHU LIFTING POINT(1 KM
U/S TAWI BRIDGE)","JAMMU &
KASHMIR",,12.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1412,,"RIVER TAWI AT JAMMU U/S,
(TAWI BRIDGE )","JAMMU &
KASHMIR",,12.0,
2744,,"RIVER TAWI BELOW TAWI
BRIDGE","JAMMU &
KASHMIR",,12.0,
2745,,"RIVER TAWI BAGHWATI
NAGAR (2KM D/S TAWI
BRIDGE","JAMMU &
KASHMIR",,13.0,
2746,,"RIVER TAWI AT
BELICHARANA(4KM D/S
TAWI BRIDGE)","JAMMU &
KASHMIR",,12.0,
2747,,"RIVER TAWI AT SURAJPUR
CHATHA(10 KM D/S TAWI
BRIDGE)BELOW BRIDGE
NEAR CHATHA MSW
DUMPING SITE, J&K","JAMMU &
KASHMIR",,12.0,
4055,,"RIVER TAWI AT 1 KM D/S
BELOW STP DISCHARGE
POINT AT BHAGWATI NAGAR","JAMMU &
KASHMIR",,13.0,
4056,,"RIVER TAWI AT BALOL
NALLAH, NEAR NIT COLLEGE,
MIRAN SAHIB, BEFORE
MIXING","JAMMU &
KASHMIR",,12.0,
4075,,"RIVER MANWAR TAWI AT
VILLAGE KALLAR (ABOUT 15
KM D/S SALAINI BRIDGE)","JAMMU &
KASHMIR",,24.0,
1307,,"RIVER CHUNT KOL
(MAULANA AZAD BRIDGE)","JAMMU &
KASHMIR",,9.8,
1306,,"RIVER GAWKADAL, SRG
(SHERGHARI, SRG)","JAMMU &
KASHMIR",,10.3,
1304,,"RIVER JHELAM AT
ANANTNAG D/S","JAMMU &
KASHMIR",,9.8,
1410,,"RIVER JHELAM AT DALAGATE
(INLET), SRINAGAR","JAMMU &
KASHMIR",,10.3,
1411,,"RIVER JHELAM AT
CHATTABAL WEIR (OUTLET","JAMMU &
KASHMIR",,9.6,
3272,,RIVER JHELUM AT VERINAG,"JAMMU &
KASHMIR",,8.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3273,,"RIVER JHELUM AT SANGAM,
CONFLUENCE POINT OF
VISHAV NALLAH","JAMMU &
KASHMIR",,8.7,
3274,,"RIVER JHELUM AT
AWANTIPORA","JAMMU &
KASHMIR",,13.8,
3275,,RIVER JHELUM AT PAMPORE,"JAMMU &
KASHMIR",,7.8,
3276,,"RIVER JHELUM AT SOPORE,
CONFLUENCE POINT OF
WULAR LAKE","JAMMU &
KASHMIR",,7.0,
