station,state,pH,pH_dev,bis_status,bis_reasons
BEAS U/S MANALI,HIMACHAL PRADESH,8.15,0.0,SAFE,Within acceptable limits
BEAS U/S MANDI,HIMACHAL PRADESH,7.649999999999999,0.0,SAFE,Within acceptable limits
MANALSU NALLAH BEFORE CONFLUENCE TO RIVER BEAS,HIMACHAL PRADESH,7.75,0.0,SAFE,Within acceptable limits
PARVATI BEFORE CONF. TO RIVER BEAS,HIMACHAL PRADESH,7.6,0.0,SAFE,Within acceptable limits
RIVER BEAS AT D/S AUT,HIMACHAL PRADESH,7.5,0.0,SAFE,Within acceptable limits
RIVER BEAS AT D/S KULU,HIMACHAL PRADESH,7.550000000000001,0.0,SAFE,Within acceptable limits
RIVER BEAS AT D/S MANDI,HIMACHAL PRADESH,7.800000000000001,0.0,SAFE,Within acceptable limits
RIVER BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,7.45,0.0,SAFE,Within acceptable limits
RIVER BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,7.65,0.0,SAFE,Within acceptable limits
RIVER BEAS AT U/S KULLU,HIMACHAL PRADESH,7.699999999999999,0.0,SAFE,Within acceptable limits
RIVER BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,7.55,0.0,SAFE,Within acceptable limits
RIVER BEAS BEFORE CONFLUENCE TO MANALSU NALLAH,HIMACHAL PRADESH,7.75,0.0,SAFE,Within acceptable limits
RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,7.550000000000001,0.0,SAFE,Within acceptable limits
RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,7.4,0.0,SAFE,Within acceptable limits
RIVER BEAS U/S MANDI,HIMACHAL PRADESH,7.75,0.0,SAFE,Within acceptable limits
"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,8.08,0.0,SAFE,Within acceptable limits
"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,7.984999999999999,0.0,SAFE,Within acceptable limits
SARVARI NALLAH BEFORE CONFLUENCE TO RIVER BEAS,HIMACHAL PRADESH,7.4,0.0,SAFE,Within acceptable limits
"SIRSA RIVER , U/S SITOMAJRI NALLAHGARH",HIMACHAL PRADESH,7.699999999999999,0.0,SAFE,Within acceptable limits
"SIRSA RIVER, D/S NALAGARH BRIDGE",HIMACHAL PRADESH,7.25,0.0,SAFE,Within acceptable limits
"U/S MANDI, H.P",HIMACHAL PRADESH,7.95,0.0,SAFE,Within acceptable limits
"BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",INTER-STATE,7.2,0.0,SAFE,Within acceptable limits
BEAS AT TALWARA (PONG DAM),INTER-STATE,8.1,0.0,SAFE,Within acceptable limits
"BANGANGA (BATHING GHAT), KATRA,",JAMMU & KASHMIR,8.100000000000001,0.0,SAFE,Within acceptable limits
"BASANTER US (R.H.S) SAMBA (BELOW NH1A BRIDGE),",JAMMU & KASHMIR,8.3,0.0,SAFE,Within acceptable limits
BASANTER)D/S(R.H.S.) SAMBA (AT CHAK MANGA GUJJAR,JAMMU & KASHMIR,7.949999999999999,0.0,SAFE,Within acceptable limits
CHUNT KOL (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,7.45,0.0,SAFE,Within acceptable limits
DEVAK RIVERUDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,JAMMU & KASHMIR,8.0,0.0,SAFE,Within acceptable limits
"GAWKADAL, SRG (SHERGHARI, SRG)",JAMMU & KASHMIR,7.65,0.0,SAFE,Within acceptable limits
"JHELUM RIVER ATSPORE, CONFLUENCE POINT OF WULAR LAKE",JAMMU & KASHMIR,7.699999999999999,0.0,SAFE,Within acceptable limits
"LIDDER NALLAH NERA BUMZOO, ANANTNAG",JAMMU & KASHMIR,7.65,0.0,SAFE,Within acceptable limits
TAWI BAGHWATI NAGAR (2KM D/S TAWI BRIDGE,JAMMU & KASHMIR,8.2,0.0,SAFE,Within acceptable limits
TAWI BELOW TAWI BRIDGE,JAMMU & KASHMIR,8.25,0.0,SAFE,Within acceptable limits
BEAS 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,7.3,0.0,SAFE,Within acceptable limits
BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,7.85,0.0,SAFE,Within acceptable limits
BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,PUNJAB,7.550000000000001,0.0,SAFE,Within acceptable limits
BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN,PUNJAB,7.25,0.0,SAFE,Within acceptable limits
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",PUNJAB,7.8,0.0,SAFE,Within acceptable limits
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",PUNJAB,7.75,0.0,SAFE,Within acceptable limits
BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,7.75,0.0,SAFE,Within acceptable limits
"BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA, PUNJA",PUNJAB,7.6,0.0,SAFE,Within acceptable limits
BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,7.35,0.0,SAFE,Within acceptable limits
"BEAS AT HARIKE, PUNJAB",PUNJAB,7.949999999999999,0.0,SAFE,Within acceptable limits
"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,7.8,0.0,SAFE,Within acceptable limits
"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",PUNJAB,7.699999999999999,0.0,SAFE,Within acceptable limits
BEAS AT TALWARA H/W,PUNJAB,7.55,0.0,SAFE,Within acceptable limits
"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,7.8,0.0,SAFE,Within acceptable limits
"BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,7.65,0.0,SAFE,Within acceptable limits
BEAS D/S PATHANKOT,PUNJAB,7.35,0.0,SAFE,Within acceptable limits
"BEAS D/S PATHANKOT, PUNJAB",PUNJAB,7.75,0.0,SAFE,Within acceptable limits
"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,8.2,0.0,SAFE,Within acceptable limits
"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,7.85,0.0,SAFE,Within acceptable limits
BEAS U/S GOINDWAL,PUNJAB,7.5,0.0,SAFE,Within acceptable limits
"BEAS U/S GOINDWAL, PUNJAB",PUNJAB,7.949999999999999,0.0,SAFE,Within acceptable limits
BEAS U/S PATHANKOT,PUNJAB,7.3,0.0,SAFE,Within acceptable limits
"D/S PATHANKOT, PUNJAB",PUNJAB,7.55,0.0,SAFE,Within acceptable limits
EAST KALI BEIN FALLING INTO RIVER BEAS,PUNJAB,6.949999999999999,0.0,SAFE,Within acceptable limits
"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",PUNJAB,7.4,0.0,SAFE,Within acceptable limits
"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,7.8,0.0,SAFE,Within acceptable limits
"U/S GOINDWAL, PUNJAB",PUNJAB,7.6,0.0,SAFE,Within acceptable limits
"U/S PATHANKOT, PUNJAB",PUNJAB,7.65,0.0,SAFE,Within acceptable limits
RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT D/S PONG DAM,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT PANDOH DAM,HIMACHAL PRADESH,,,UNKNOWN,pH missing
"RIVER BEAS AT PONG DAM ,PONG VILLAGE",HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT RAISON,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT TALWARA (PONG DAM),HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S AUT,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S KULLU,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,,,UNKNOWN,pH missing
"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF MAAN KHAD,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S NEW BAJAURA BRIDGE,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER PARVATI BEFORE CONF. TO RIVER BEAS AT BHUNTER,HIMACHAL PRADESH,,,UNKNOWN,pH missing
RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",PUNJAB,,,UNKNOWN,pH missing
RIVER BEAS AT CHAMBA KALAN,PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS AT D/S CHANGARWA VILLAGE, (PUNJAB)",PUNJAB,,,UNKNOWN,pH missing
RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS AT HARIKE, PUNJAB",PUNJAB,,,UNKNOWN,pH missing
RIVER BEAS AT KAMBOH DAHIWALA,PUNJAB,,,UNKNOWN,pH missing
RIVER BEAS AT KARMOWALA VILLAGE,PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS AT TALWARA H/W, PUNJAB",PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS D/S PATHANKOT, PUNJAB",PUNJAB,,,UNKNOWN,pH missing
"RIVER BEAS U/S GOINDWAL, PUNJAB",PUNJAB,,,UNKNOWN,pH missing
